day,pos,neg,neu
2024-09-06,4,11,8
2024-09-07,7,11,10
2024-09-08,8,7,14
2024-09-09,3,3,6
2024-09-10,9,6,8
2024-09-11,8,8,7
2024-09-12,11,7,10
2024-09-13,10,6,12
2024-09-14,10,2,7
2024-09-15,9,8,7
2024-09-16,8,2,10
2024-09-17,18,1,7
2024-09-18,7,6,15
2024-09-19,7,3,10
2024-09-20,10,4,9
2024-09-21,12,3,14
2024-09-22,13,3,11
2024-09-23,8,1,5
2024-09-24,20,5,7
2024-09-25,10,2,5
2024-09-26,13,2,10
2024-09-27,13,2,7
2024-09-28,9,3,9
2024-09-29,12,1,11
2024-09-30,10,3,10
2024-10-01,10,11,24
2024-10-02,19,8,16
2024-10-03,14,7,19
2024-10-04,17,12,29
2024-10-05,16,6,27
2024-10-06,15,10,18
2024-10-07,23,8,33
2024-10-08,21,11,24
2024-10-09,22,9,26
2024-10-10,14,10,32
2024-10-11,20,4,27
2024-10-12,15,10,22
2024-10-13,33,5,17
2024-10-14,19,8,16
2024-10-15,20,10,24
